morning,"Registration opens, Hampton Inn Downtown, 2nd floor
Main Stage Speakers, Hippodrome Theatre, Main Stage
Recess, see your Recess sheet for details"
afternoon,"Main Stage Speakers, Hippodrome Theatre, Main Stage
Closing Ceremonies
Recovery Lunch"
evening,"Changeville, downtown Gainesville"
